Market_Cap,Percent24,Name,Price,Percent7d,Volume,Circulating_Supply,Percent1,Symbol
"
                        $1,480,918,918
                    ",3.10%,BitShares,$0.568057,-4.36%,"$65,932,700","
                            2,606,990,000",-1.06%,BTS
"
                        $1,465,942,021
                    ",55.51%,Tether,$0.998537,-4.20%,"$3,612,060,000","
                            1,468,089,837",-2.22%,USDT
"
                        $1,370,677,257
                    ",10.19%,Ardor,$1.37,-24.37%,"$3,452,420","
                            998,999,495",-2.72%,ARDR
"
                        $1,359,655,727
                    ",5.71%,Status,$0.391777,-17.32%,"$77,909,100","
                            3,470,483,788",-4.19%,SNT
"
                        $1,333,789,758
                    ",0.53%,Dogecoin,$0.011833,-12.85%,"$67,901,000","
                            112,718,755,164",-1.04%,DOGE
"
                        $1,132,050,000
                    ",1.77%,Waves,$11.32,-10.84%,"$47,237,200","
                            100,000,000",-1.55%,WAVES
"
                        $1,118,118,250
                    ",15.36%,Steem,$4.54,-9.16%,"$15,712,700","
                            246,503,080",-4.17%,STEEM
"
                        $1,028,352,270
                    ",2.62%,Dentacoin,$0.003162,-33.49%,"$9,862,360","
                            325,190,215,376",-3.63%,DCN
"
                        $1,016,435,646
                    ",26.71%,Dragonchain,$4.26,-22.80%,"$13,750,900","
                            238,421,940",-0.81%,DRGN
"
                        $967,630,422
                    ",9.73%,0x,$1.97,-34.10%,"$63,892,500","
                            490,458,471",-1.86%,ZRX
"
                        $960,728,957
                    ",19.78%,WAX,$1.95,-28.22%,"$15,443,900","
                            492,954,537",-1.57%,WAX
"
                        $956,685,400
                    ",4.71%,Augur,$86.97,-9.93%,"$57,874,300","
                            11,000,000",-2.35%,REP
"
                        $955,192,556
                    ",5.44%,DigiByte,$0.098667,-13.59%,"$75,955,400","
                            9,680,963,116",-1.59%,DGB
"
                        $912,551,576
                    ",17.12%,Veritaseum,$448.07,-18.27%,"$879,933","
                            2,036,645",-1.11%,VERI
"
                        $825,397,276
                    ",4.56%,Ark,$8.42,-21.17%,"$30,437,600","
                            97,981,284",-0.82%,ARK
"
                        $788,662,940
                    ",3.65%,Dent,$0.074299,-7.74%,"$73,124,400","
                            10,614,760,961",-0.16%,DENT
"
                        $733,799,891
                    ",21.94%,Komodo,$7.06,-1.66%,"$14,849,000","
                            103,952,533",-2.13%,KMD
"
                        $731,045,209
                    ",15.09%,Hshare,$17.21,-11.06%,"$173,284,000","
                            42,483,610",-1.14%,HSR
"
                        $715,827,977
                    ",21.00%,Electroneum,$0.143237,-45.65%,"$7,028,640","
                            4,997,507,466",-0.58%,ETN
"
                        $712,659,971
                    ",31.34%,Golem,$0.854240,-3.72%,"$28,765,800","
                            834,262,000",-2.15%,GNT
"
                        $702,879,000
                    ",3.13%,Basic Attenti...,$0.702879,-14.85%,"$39,102,300","
                            1,000,000,000",-0.65%,BAT
"
                        $658,510,418
                    ",35.62%,PIVX,$11.90,-7.76%,"$11,889,100","
                            55,317,486",-0.85%,PIVX
"
                        $650,905,519
                    ",39.49%,Decred,$99.60,-32.20%,"$3,705,070","
                            6,535,386",-1.08%,DCR
"
                        $628,556,578
                    ",258.30%,SALT,$11.61,-9.80%,"$31,074,900","
                            54,155,100",-0.06%,SALT
"
                        $620,883,133
                    ",0.80%,Ethos,$8.23,-27.19%,"$8,849,950","
                            75,401,962",-5.57%,ETHOS
"
                        $595,410,115
                    ",13.95%,Experience Po...,$0.002828,-30.56%,"$8,002,550","
                            210,573,076,985",-2.94%,XP
"
                        $592,814,209
                    ",6.10%,Kyber Network,$4.42,-13.62%,"$23,171,800","
                            134,132,697",-1.24%,KNC
"
                        $582,312,500
                    ",0.18%,QASH,$1.66,-19.75%,"$36,243,600","
                            350,000,000",-2.22%,QASH
"
                        $577,539,073
                    ",2.74%,Kin,$0.000764,-13.64%,"$3,171,910","
                            756,097,560,976",-3.82%,KIN
"
                        $574,459,667
                    ",17.56%,FunFair,$0.135171,-21.25%,"$33,867,100","
                            4,249,873,622",-0.43%,FUN
"
                        $562,334,341
                    ",27.84%,ReddCoin,$0.019581,-10.40%,"$26,042,600","
                            28,717,926,851",-0.65%,RDD
"
                        $541,601,657
                    ",5.23%,Factom,$61.93,-45.38%,"$20,797,600","
                            8,745,102",-1.17%,FCT
"
                        $540,359,812
                    ",1.90%,Enigma,$7.22,-5.16%,"$52,192,300","
                            74,836,171",-0.72%,ENG
"
                        $515,957,211
                    ",0.66%,Bytom,$0.522753,-10.00%,"$52,095,400","
                            987,000,000",-3.37%,BTM
"
                        $509,882,864
                    ",51.91%,Medibloc,$0.171887,-50.92%,"$65,458,700","
                            2,966,384,100",-0.23%,MED
"
                        $509,092,223
                    ",40.60%,Request Network,$0.794476,-11.25%,"$33,951,800","
                            640,789,933",-2.77%,REQ
"
                        $504,577,870
                    ",64.22%,Aeternity,$2.17,-0.63%,"$3,235,780","
                            233,020,472",-1.52%,AE
"
                        $501,752,193
                    ",8.56%,Aion,$8.19,-1.63%,"$16,910,100","
                            61,299,856",-2.03%,AION
"
                        $501,143,367
                    ",59.34%,Nexus,$9.12,-3.16%,"$3,701,240","
                            54,942,099",-1.24%,NXS
"
                        $485,150,000
                    ",4.01%,aelf,$1.94,-16.27%,"$145,276,000","
                            250,000,000",-2.82%,ELF
"
                        $477,582,011
                    ",1.49%,Substratum,$2.11,-15.79%,"$35,901,200","
                            226,091,449",-0.74%,SUB
"
                        $476,453,618
                    ",85.19%,Gas,$52.14,-28.28%,"$24,419,900","
                            9,137,582",-0.90%,GAS
"
                        $472,296,056
                    ",5.22%,Power Ledger,$1.31,-45.40%,"$43,856,800","
                            360,520,332",-1.98%,POWR
"
                        $460,771,998
                    ",5.32%,ZClassic,$150.62,-3.09%,"$18,164,800","
                            3,059,250",-0.01%,ZCL
"
                        $458,430,752
                    ",11.61%,RChain,$2.51,-17.08%,"$2,101,030","
                            182,963,195",-2.93%,RHOC
"
                        $453,390,410
                    ",107.65%,DigitalNote,$0.065767,-9.80%,"$44,076,600","
                            6,893,868,223",-2.86%,XDN
"
                        $443,982,612
                    ",1.35%,MonaCoin,$7.84,-10.31%,"$9,189,940","
                            56,641,200",-1.44%,MONA
"
                        $441,773,216
                    ",0.31%,Byteball Bytes,$684.68,-29.77%,"$1,480,650","
                            645,222",-4.19%,GBYTE
"
                        $440,157,521
                    ",208.17%,Neblio,$34.62,-28.30%,"$51,764,400","
                            12,712,277",-0.43%,NEBL
"
                        $433,051,023
                    ",0.99%,MaidSafeCoin,$0.956908,-14.88%,"$6,972,080","
                            452,552,412",-0.81%,MAID
"
                        $408,330,262
                    ",1.35%,Syscoin,$0.770191,-12.34%,"$9,825,880","
                            530,167,532",-7.04%,SYS
"
                        $407,480,500
                    ",10.23%,ChainLink,$1.16,-3.45%,"$11,202,700","
                            350,000,000",-1.97%,LINK
"
                        $406,440,112
                    ",11.40%,BitcoinDark,$315.35,-26.94%,"$494,998","
                            998,999,942",-1.94%,BTCD
"
                        $404,876,694
                    ",29.64%,Nxt,$0.405282,-14.56%,"$33,358,800","
                            2,000,000",-5.19%,NXT
"
                        $399,498,000
                    ",0.60%,DigixDAO,$199.75,-37.53%,"$12,223,400","
                            60,522,871",-3.25%,DGD
"
                        $392,726,252
                    ",9.57%,Santiment Net...,$6.49,-41.83%,"$8,750,050","
                            344,156,938",-1.54%,SAN
"
                        $391,640,271
                    ",23.60%,Cobinhood,$1.14,-17.59%,"$4,720,900","
                            99,788,314",-5.70%,COB
"
                        $391,186,158
                    ",23.10%,Iconomi,$3.92,-30.16%,"$9,157,740","
                            1,104,590",-0.81%,ICN
"
                        $378,343,062
                    ",1.35%,Gnosis,$342.52,-4.29%,"$6,618,090","
                            24,898,178",-6.42%,GNO
"
                        $375,307,666
                    ",19.54%,Walton,$15.07,-2.00%,"$35,612,900","
                            572,907,860",-2.93%,WTC
"
                        $367,463,101
                    ",17.94%,SmartCash,$0.641400,-23.32%,"$743,412","
                            40,772,871",-1.66%,SMART
"
                        $360,543,894
                    ",10.88%,Bancor,$8.84,-13.72%,"$17,513,900","
                            3,855,841",-2.40%,BNT
"
                        $351,720,187
                    ",1.58%,ZCoin,$91.22,-5.81%,"$7,909,390","
                            617,314,171",-0.48%,XZC
"
                        $350,393,079
                    ",44.96%,Quantstamp,$0.567609,-28.57%,"$25,484,500","
                            2,438,108,603",-2.00%,QSP
"
                        $345,163,035
                    ",15.01%,Storm,$0.141570,-20.31%,"$12,452,300","
                            64,355,352",-5.82%,STORM
"
                        $343,225,755
                    ",2.32%,GameCredits,$5.33,-0.68%,"$9,261,520","
                            2,196,601,583",-1.44%,GAME
"
                        $339,500,151
                    ",13.60%,Po.et,$0.154557,-0.64%,"$60,744,900","
                            40,510,000",-0.17%,POE
"
                        $336,032,881
                    ",19.23%,GXShares,$8.30,-5.99%,"$18,930,800","
                            50,148,936",-3.17%,GXS
"
                        $331,330,510
                    ",1.39%,Raiden Networ...,$6.61,-23.65%,"$39,689,800","
                            104,661,310",-2.90%,RDN
"
                        $324,900,105
                    ",6.64%,TenX,$3.10,-47.55%,"$19,523,700","
                            900,000,000",-0.55%,PAY
"
                        $323,160,300
                    ",12.41%,DeepBrain Chain,$0.359067,-11.81%,"$34,712,200","
                            300,000,000",-0.42%,DBC
"
                        $321,984,000
                    ",4.60%,Achain,$1.07,-7.12%,"$28,543,700","
                            325,000,000",-0.84%,ACT
"
                        $321,516,975
                    ",27.16%,UTRUST,$0.989283,-15.05%,"$7,256,150","
                            342,699,966",-1.21%,UTK
"
                        $316,855,248
                    ",59.15%,Civic,$0.924585,-10.75%,"$26,878,800","
                            1,494,971,209",-1.86%,CVC
"
                        $307,412,425
                    ",1.74%,BLOCKv,$0.205631,-16.65%,"$6,005,900","
                            1,629,622,325",-3.32%,VEE
"
                        $304,677,449
                    ",12.25%,Time New Bank,$0.186962,-8.44%,"$57,228,700","
                            7,145,140",-2.10%,TNB
"
                        $297,027,044
                    ",0.38%,Skycoin,$41.57,-9.04%,"$1,411,210","
                            179,535,219",-2.41%,SKY
"
                        $290,917,074
                    ",0.30%,VIBE,$1.62,-6.25%,"$335,979,000","
                            1,000,000,000",-2.31%,VIBE
"
                        $289,402,000
                    ",2.76%,XPlay,$0.289402,-14.04%,"$348,025","
                            2,532,541,067,563",-0.19%,XPA
"
                        $288,289,280
                    ",2.57%,PACcoin,$0.000114,-21.24%,"$2,178,260","
                            543,348,500",-5.59%,PAC
"
                        $287,300,953
                    ",6.17%,Red Pulse,$0.528760,-30.03%,"$47,101,100","
                            1,016,941,081",-2.01%,RPX
"
                        $282,895,721
                    ",5.63%,ETHLend,$0.278183,-5.90%,"$48,094,700","
                            133,178,683",-2.22%,LEND
"
                        $268,939,700
                    ",6.62%,Storj,$2.02,-6.79%,"$28,156,400","
                            756,192,535",-1.17%,STORJ
"
                        $250,324,683
                    ",3.24%,Enjin Coin,$0.331033,-3.36%,"$14,503,000","
                            41,178,434",-1.58%,ENJ
"
                        $245,794,487
                    ",16.20%,Emercoin,$5.97,-2.14%,"$4,389,310","
                            150,000,000",-1.25%,EMC
"
                        $242,844,000
                    ",4.00%,AirSwap,$1.62,-20.35%,"$26,829,800","
                            82,500,000",-0.35%,AST
"
                        $241,874,325
                    ",1.69%,PayPie,$2.93,-0.24%,"$393,676","
                            42,434,125",-1.28%,PPP
"
                        $239,025,910
                    ",16.35%,Vertcoin,$5.63,-16.82%,"$10,430,000","
                            430,000,000",-3.06%,VTC
"
                        $237,825,690
                    ",2.90%,XTRABYTES,$0.553083,-27.88%,"$1,303,240","
                            227,384,800",-2.76%,XBY
"
                        $237,296,503
                    ",50.27%,Pillar,$1.04,-33.42%,"$738,947","
                            2,617,412",-0.75%,PLR
"
                        $228,347,465
                    ",12.95%,Counterparty,$87.24,-1.40%,"$36,071,800","
                            4,965,943",-4.29%,XCP
"
                        $222,286,528
                    ",0.46%,Blocknet,$44.76,-9.19%,"$525,029","
                            201,026,156",-2.96%,BLOCK
"
                        $221,201,141
                    ",9.48%,Simple Token,$1.10,-30.16%,"$57,314,200","
                            45,059,183",-4.19%,OST
"
                        $220,675,548
                    ",2.62%,Cryptonex,$4.90,-16.16%,"$221,521","
                            45,248,033",-6.53%,CNX
"
                        $218,198,684
                    ",1.20%,WaBi,$4.82,-38.99%,"$30,371,700","
                            62,284,477",-0.24%,WABI
"
                        $212,104,804
                    ",10.78%,NAV Coin,$3.41,-21.93%,"$6,622,220","
                            184,450,000",-2.87%,NAV
"
                        $210,778,393
                    ",412.23%,Revain,$1.14,-22.42%,"$2,706,310","
                            27,000,000",-1.79%,R
"
                        $202,608,270
                    ",79.74%,BridgeCoin,$7.50,-33.17%,"$196,273","
                            98,939,459",-3.15%,BCO
"
                        $202,212,467
                    ",16.38%,SIRIN LABS Token,$2.04,-4.91%,"$4,268,920","
                            1,008,917,086",-3.74%,SRN
"
                        $201,115,514
                    ",9.90%,BitBay,$0.199338,-2.52%,"$9,862,000","
                            13,085,542",-2.73%,BAY
"
                        $197,524,951
                    ",8.64%,Monaco,$15.09,-14.64%,"$21,608,600","
                            7,836,448",-0.21%,MCO
"
                        $196,181,564
                    ",3.04%,Particl,$25.03,-22.44%,"$1,541,520","
                            489,033,009",-1.36%,PART
"
                        $195,396,073
                    ",38.19%,Ripio Credit ...,$0.399556,-20.36%,"$41,984,300","
                            32,138,624",-1.82%,RCN
"
                        $194,109,255
                    ",39.51%,Aragon,$6.04,-27.47%,"$2,912,890","
                            4,945,153,858",-1.11%,ANT
"
                        $193,317,933
                    ",25.20%,ATMChain,$0.039092,-52.20%,"$459,262","
                            68,000,000",-5.00%,ATM
"
                        $191,509,760
                    ",11.31%,Centra,$2.82,-7.57%,"$21,197,900","
                            989,466,187",-1.40%,CTR
"
                        $191,327,140
                    ",1.69%,Dynamic Tradi...,$0.193364,-6.97%,"$605,859","
                            443,063,285",-9.84%,DTR
"
                        $188,617,357
                    ",8.63%,CyberMiles,$0.425712,-1.23%,"$28,110,000","
                            39,125,088",-3.24%,CMT
"
                        $186,916,588
                    ",28.74%,Ubiq,$4.78,-27.23%,"$1,736,050","
                            1,029,190,905",-8.02%,UBQ
"
                        $185,732,937
                    ",30.24%,Decentraland,$0.180465,-21.94%,"$48,089,400","
                            485,146,253",-1.79%,MANA
"
                        $182,407,714
                    ",18.33%,Etherparty,$0.375985,-13.02%,"$32,228,300","
                            359,600,000",-4.48%,FUEL
"
                        $178,998,811
                    ",8.98%,SONM,$0.497772,-6.76%,"$19,610,600","
                            38,052,306",-2.55%,SNM
"
                        $178,779,244
                    ",1.47%,IoT Chain,$4.70,-20.93%,"$32,114,300","
                            79,070,793",-2.39%,ITC
"
                        $177,392,162
                    ",114.60%,iExec RLC,$2.24,-5.83%,"$1,864,360","
                            1,445,976,590",-3.97%,RLC
"
                        $177,341,799
                    ",15.50%,Cindicator,$0.122645,-10.54%,"$13,107,900","
                            82,046,276",-0.96%,CND
"
                        $173,313,733
                    ",20.05%,Edgeless,$2.11,-1.17%,"$8,289,750","
                            18,266,200",-1.97%,EDG
"
                        $171,380,612
                    ",0.28%,Modum,$9.38,-13.51%,"$8,273,920","
                            600,000,000",-1.22%,MOD
"
                        $166,821,600
                    ",3.26%,SingularDTV,$0.278036,-11.72%,"$3,023,410","
                            23,564,882",-2.14%,SNGLS
"
                        $164,111,732
                    ",8.96%,Nuls,$6.96,-7.15%,"$19,972,300","
                            183,000,000",-2.32%,NULS
"
                        $163,746,387
                    ",349.20%,Wagerr,$0.894789,-9.19%,"$1,521,550","
                            677,154,514",-2.35%,WGR
"
                        $163,238,253
                    ",0.06%,Streamr DATAcoin,$0.241065,-1.80%,"$11,651,400","
                            2,973,975",-5.93%,DATA
"
                        $163,104,685
                    ",1.82%,ZenCash,$54.84,-8.54%,"$8,357,050","
                            134,256,304",-0.76%,ZEN
"
                        $161,123,676
                    ",1.68%,Unikoin Gold,$1.20,-8.07%,"$12,438,700","
                            300,043,386",-0.52%,UKG
"
                        $158,548,626
                    ",31.43%,SpankChain,$0.528419,-49.92%,"$8,205,320","
                            60,248,315",-3.81%,SPANK
"
                        $155,197,250
                    ",14.10%,AdEx,$2.58,-6.48%,"$13,092,100","
                            24,566,850",-1.80%,ADX
"
                        $149,566,424
                    ",271.79%,Peercoin,$6.09,-27.48%,"$2,369,300","
                            59,805,880",-0.94%,PPC
"
                        $149,345,449
                    ",18.80%,Bread,$2.50,-20.85%,"$23,289,400","
                            52,000,000",-0.31%,BRD
"
                        $148,164,640
                    ",1.30%,Quantum Resis...,$2.85,-15.97%,"$2,809,480","
                            230,478,760",-2.26%,QRL
"
                        $146,371,068
                    ",15.44%,HempCoin,$0.635074,-6.54%,"$11,044,300","
                            89,708,333",-1.91%,THC
"
                        $144,984,814
                    ",21.44%,Wings,$1.62,-5.75%,"$11,811,000","
                            600,000,000",-2.41%,WINGS
"
                        $143,583,000
                    ",15.73%,district0x,$0.239305,-7.49%,"$10,720,300","
                            144,590,975",-7.74%,DNT
"
                        $141,459,857
                    ",0.83%,Ambrosus,$0.978345,-38.76%,"$6,608,020","
                            98,028,877",-6.05%,AMB
"
                        $138,228,559
                    ",19.79%,MobileGo,$1.41,-22.02%,"$555,640","
                            216,287,998",-1.81%,MGO
"
                        $133,984,143
                    ",20.47%,Einsteinium,$0.619471,-16.86%,"$9,504,120","
                            36,961,730",-5.79%,EMC2
"
                        $132,945,429
                    ",64.69%,Metaverse ETP,$3.60,-2.91%,"$12,111,700","
                            1,800,339,818",-3.69%,ETP
"
                        $131,828,263
                    ",6.93%,Burst,$0.073224,-16.74%,"$10,525,000","
                            22,955,747",-3.89%,BURST
"
                        $130,117,992
                    ",36.03%,Viacoin,$5.67,-0.73%,"$1,684,660","
                            129,480,117",-1.70%,VIA
"
                        $128,852,656
                    ",5.66%,LBRY Credits,$0.995154,-0.92%,"$6,214,330","
                            91,808,819",-4.20%,LBC
"
                        $128,385,452
                    ",37.25%,Asch,$1.40,-17.70%,"$4,025,780","
                            85,978,873",-2.10%,XAS
"
                        $128,288,217
                    ",9.72%,Agrello,$1.49,-4.97%,"$25,507,700","
                            32,105,578",-2.38%,DLT
"
                        $125,981,323
                    ",31.24%,Triggers,$3.92,-4.71%,"$10,379,000","
                            85,558,371",-4.17%,TRIG
"
                        $125,353,280
                    ",9.69%,FirstBlood,$1.47,-2.66%,"$5,156,850","
                            390,115,800",-0.88%,1ST
"
                        $124,664,235
                    ",10.67%,Gulden,$0.319557,-15.40%,"$1,916,970","
                            599,400",-5.06%,NLG
"
                        $123,904,372
                    ",27.19%,Melon,$206.71,-9.14%,"$1,314,730","
                            216,964,020",-1.79%,MLN
"
                        $120,938,999
                    ",3.60%,Monetha,$0.557415,-7.32%,"$22,108,300","
                            223,261,072,853",-1.79%,MTH
"
                        $119,701,201
                    ",30.71%,Mooncoin,$0.000536,-4.06%,"$943,170","
                            51,306,089",-0.78%,MOON
"
                        $119,168,653
                    ",5.21%,DECENT,$2.32,-10.50%,"$1,323,180","
                            2,297,853",-4.15%,DCT
"
                        $118,406,761
                    ",0.61%,Lunyr,$51.53,-23.89%,"$21,625,100","
                            42,000,000",-5.98%,LUN
"
                        $114,349,200
                    ",13.10%,Agoras Tokens,$2.72,-20.58%,"$872,065","
                            22,620,193",-1.55%,AGRS
"
                        $112,728,861
                    ",16.28%,Eidoo,$4.98,-0.05%,"$18,259,500","
                            31,301,449",-2.12%,EDO
"
                        $110,888,200
                    ",16.61%,Decision Token,$3.54,-9.72%,"$1,724,480","
                            428,481,269",-0.11%,HST
"
                        $110,709,276
                    ",7.22%,Tierion,$0.258376,-30.62%,"$10,994,500","
                            405,002,639",-0.96%,TNT
"
                        $110,417,084
                    ",4.67%,Snovio,$0.272633,-12.27%,"$6,118,670","
                            900,000,000",-4.85%,SNOV
"
                        $110,199,600
                    ",0.06%,Flash,$0.122444,-3.51%,"$1,022,980","
                            113,139,200",-0.04%,FLASH
"
                        $109,805,327
                    ",3.65%,Rise,$0.970533,-1.74%,"$4,935,600","
                            11,602,710",-0.65%,RISE
"
                        $107,851,714
                    ",10.93%,Shift,$9.30,-12.15%,"$2,510,070","
                            77,839,404",-4.50%,SHIFT
"
                        $105,327,611
                    ",11.63%,LAToken,$1.35,-13.18%,"$3,258,180","
                            481,654,000",-4.02%,LA
"
                        $105,131,100
                    ",29.89%,SHIELD,$0.218271,-7.50%,"$840,931","
                            15,344,977",-1.33%,XSH
"
                        $103,148,171
                    ",2.46%,Aeon,$6.72,-11.95%,"$1,773,450","
                            39,236,491",-2.58%,AEON
"
                        $102,648,154
                    ",17.57%,Grid+,$2.62,-50.95%,"$91,733","
                            62,366,926",-1.61%,GRID
"
                        $102,513,764
                    ",4.05%,Loopring,$1.64,-14.57%,"$50,531,700","
                            5,053,693",-3.37%,LRC
"
                        $102,374,681
                    ",8.16%,CloakCoin,$20.26,-16.61%,"$1,045,500","
                            19,300,994",-5.50%,CLOAK
"
                        $100,049,791
                    ",3.15%,Metal,$5.18,-5.23%,"$11,770,700","
                            92,147,500",-1.32%,MTL
"
                        $99,185,726
                    ",9.13%,WeTrust,$1.08,-30.22%,"$1,420,000","
                            157,861,327",-0.57%,TRST
"
                        $99,128,546
                    ",10.61%,Gifto,$0.627947,-23.26%,"$15,487,500","
                            3,726,781",-5.15%,GTO
"
                        $98,160,055
                    ",19.23%,Genesis Vision,$26.34,-12.93%,"$6,849,580","
                            35,778,844",-1.72%,GVT
"
                        $97,506,652
                    ",18.00%,iXledger,$2.73,-1.76%,"$1,297,170","
                            23,644,056",-0.17%,IXT
"
                        $96,146,425
                    ",3.10%,TokenCard,$4.07,-23.75%,"$405,237","
                            560,650,080",-0.32%,TKN
"
                        $95,274,071
                    ",5.59%,CoinDash,$0.169935,-0.87%,"$7,134,860","
                            155,000,000",-1.24%,CDT
"
                        $95,064,755
                    ",10.36%,Presearch,$0.613321,-28.70%,"$105,331","
                            172,400,153",-0.06%,PRE
"
                        $94,418,736
                    ",2.21%,Pura,$0.547672,-31.39%,"$912,410","
                            178,250,000",-2.43%,PURA
"
                        $93,776,434
                    ",4.83%,Ink,$0.526095,-11.11%,"$183,361,000","
                            31,823,026",-0.54%,INK
"
                        $92,189,716
                    ",0.53%,Oyster Pearl,$2.90,-20.53%,"$7,126,470","
                            210,000,000",-1.66%,PRL
"
                        $91,171,710
                    ",16.85%,Voxels,$0.434151,-0.62%,"$9,812,820","
                            29,250,004",-16.80%,VOX
"
                        $87,783,065
                    ",5.63%,Delphy,$3.00,-16.78%,"$1,738,860","
                            20,785,264",-0.20%,DPY
"
                        $86,535,914
                    ",13.41%,Spectrecoin,$4.16,-1.24%,"$822,470","
                            63,407,237",-9.00%,XSPEC
"
                        $86,312,467
                    ",6.66%,COSS,$1.36,-25.50%,"$1,914,920","
                            162,299,801",-3.58%,COSS
"
                        $86,107,186
                    ",1.23%,Viberate,$0.530544,-30.98%,"$9,599,870","
                            600,000,000",-0.40%,VIB
"
                        $86,092,800
                    ",27.25%,adToken,$0.143488,-2.76%,"$5,232,730","
                            1,009,813",-2.47%,ADT
"
                        $86,083,718
                    ",0.32%,SaluS,$85.25,-15.38%,"$2,199,210","
                            187,989,880",-3.05%,SLS
"
                        $84,009,482
                    ",24.70%,Feathercoin,$0.446883,-4.56%,"$1,192,380","
                            16,465,461",-4.08%,FTC
"
                        $83,472,972
                    ",31.12%,I/O Coin,$5.07,-49.82%,"$1,331,930","
                            591,500,000",-6.56%,IOC
"
                        $83,105,750
                    ",16.97%,DomRaider,$0.140500,-0.88%,"$72,228","
                            8,146,001",-1.96%,DRT
